,Ano de ingresso,Semestre de ingresso no curso,Código,Gênero,Data de nascimento,Forma de ingresso,Tipo de cota,Município SISU,UF SISU,País de nascimento,Mudou de curso - mesmo campus,Mudou de curso - outro campus,Cor ou raça,Ano,Semestre,Coeficiente de rendimento,Disciplinas matriculadas,Disciplinas aprovadas,Disciplinas reprovadas por nota,Disciplinas reprovadas por frequência,Disciplinas consignadas,Situação,Período
49,2007,1,3,Masculino,1989-02-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2011,2,0.7896,6,5,0,1,0,Regular,10
48,2007,1,3,Masculino,1989-02-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2012,1,0.7963,1,1,0,0,2,Formado,10
73,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,1,0.8183,6,6,0,0,0,Regular,1
70,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,2,0.8163,7,7,0,0,0,Regular,2
71,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,1,0.8107,8,8,0,0,0,Regular,3
72,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,2,0.8146,7,7,0,0,0,Regular,4
75,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,1,0.8101,7,7,0,0,0,Regular,5
74,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,2,0.7931,7,7,0,0,0,Regular,6
69,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,1,0.7964,8,8,0,0,0,Regular,7
68,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,2,0.7937,6,6,0,0,0,Regular,9
66,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,1,0.7997,4,4,0,0,0,Regular,10
67,2007,1,4,Masculino,1989-12-13,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,2,0.806,8,5,0,0,2,Formado,10
105,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,0.8486,6,6,0,0,0,Regular,1
106,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,2,0.8089,9,9,0,0,0,Regular,2
109,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,1,0.8087,7,7,0,0,0,Regular,3
110,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,2,0.8103,6,6,0,0,0,Regular,4
107,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,1,0.7999,7,7,0,0,0,Regular,5
108,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,2,0.7461,7,5,0,2,0,Regular,6
104,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2010,1,0.7151,6,3,3,0,0,Regular,7
100,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2010,2,0.697,6,4,1,1,0,Regular,8
102,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2011,1,0.7054,9,8,1,0,0,Regular,8
103,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2011,2,0.7135,7,7,0,0,0,Regular,10
101,2007,1,5,Masculino,1988-10-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2012,1,0.7219,6,5,0,0,0,Formado,10
124,2007,1,6,Masculino,1988-12-05,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,,0,0,0,0,0,Desistente,1
130,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,0.5014,6,4,2,0,0,Regular,1
135,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,2,0.5175,6,3,3,0,0,Regular,2
127,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,1,0.466,5,1,2,2,0,Regular,2
128,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,2,0.4795,9,6,0,3,0,Regular,2
132,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,1,0.4754,7,4,1,2,0,Regular,2
131,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,2,0.4657,6,3,0,3,0,Regular,3
136,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2010,1,0.463,3,2,0,1,0,Regular,3
125,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2010,2,0.4385,5,0,0,5,0,Regular,3
134,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2011,1,0.4153,8,2,1,5,0,Regular,3
133,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2011,2,0.4098,4,1,0,3,0,Regular,3
126,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2012,1,0.388,4,0,0,4,0,Regular,3
129,2007,1,7,Masculino,1987-04-22,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2012,2,0.388,0,0,0,0,0,Desistente,3
141,2007,1,8,Feminino,1989-04-20,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,0.5531,6,4,1,1,0,Regular,1
139,2007,1,8,Feminino,1989-04-20,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,2,0.5531,0,0,0,0,0,Trancado,1
138,2007,1,8,Feminino,1989-04-20,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,1,0.5531,0,0,0,0,0,Trancado,1
137,2007,1,8,Feminino,1989-04-20,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,2,0.5531,0,0,0,0,0,Trancado,1
142,2007,1,8,Feminino,1989-04-20,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,1,0.5531,0,0,0,0,0,Trancado,1
140,2007,1,8,Feminino,1989-04-20,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,2,0.5531,0,0,0,0,0,Desistente,1
148,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,1,0.5866,6,5,1,0,0,Regular,1
153,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,2,0.5195,7,4,1,2,0,Regular,2
152,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,1,0.5752,7,7,0,0,0,Regular,2
151,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,2,0.6248,7,7,0,0,0,Regular,3
150,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,1,0.6217,9,7,2,0,0,Regular,4
149,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,2,0.6459,8,8,0,0,0,Regular,5
154,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,1,0.645,6,6,0,0,0,Regular,6
147,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,2,0.6623,6,6,0,0,0,Regular,8
146,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,1,0.6727,7,6,1,0,0,Regular,10
145,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,2,0.6818,8,8,0,0,0,Regular,10
